relative_path,format,bytes,sha256,records_or_items,variables,structural_note
data/figure_source_data/Figure9b_source.csv,csv,541860,0a5acb131a3382d7e509ac9339953e93dae2a854230283b4c187ce70c1277987,5792,run_id;exp_name;training_strategy;leave_out;seed;time_s;s_true;s_pred,UTF-8 comma-separated table
data/figure_source_data/FigureB1_source.csv,csv,24140,601f113349430e2778805152dcedf5dde55d51ba4dd8bb8e93a9e86fb9c378a9,100,run_id;short_label;exp_name;training_strategy;leave_out;seed;kind;x;mode;loss;wPDE;wFV;wFG;beta;eps;pde;fv;fvC;fvW;dataP;dataS;Sg;Sf;Sp;Sfg;injF;injS;outP;outBF;noflow;icP;icS;alloc;reserv;max_alloc;max_reserv;nFG;dFG,UTF-8 comma-separated table
data/figure_source_data/FigureB2_source.csv,csv,459151,f215e4fd1211136e4889e00de9d456b0601107f5d5af01859653531d1c788736,5792,M;t_d;S_rmse;S_RMSE_front_band;p_phys_RMSE_MPa,UTF-8 comma-separated table
data/figure_source_data/FigureB4_manifest.csv,csv,211,2ff00d13c5a38a6b99a67cc34154c62cbba435ef83358599fd3b71340b31cf91,4,row;quantity;time_days;above_color_limit_percent;max_absolute_error,UTF-8 comma-separated table
data/figure_source_data/HK_component_paired.csv,csv,5412,c542674b0682f8e20e6e19a82a7443a0e7d66a10a9a16c2ac0c40da2b0e93f8f,64,case;metric;deletion;group;seed;complete;deleted;percent,UTF-8 comma-separated table
data/figure_source_data/HK_component_summary.csv,csv,1063,dd8949ae432d85b3fb3f39f9e6e371a393fbabd7fea08606d242be1d84ec77d2,16,case;metric;deletion;n;mean;SD;n_increased,UTF-8 comma-separated table
data/figure_source_data/H_FV_tradeoff_source.csv,csv,745,9031fef18718f60a9e2d3934ca7c20d123315e88cd7c5bfa3f5c8b4b8196cdc2,8,seed;metric;no_FV_local;complete_local;no_FV_error;complete_error,UTF-8 comma-separated table
data/figure_source_data/K_field_ranges.csv,csv,937,fb992e147a5a1d01783fb79d322d0173369984f8e5be10fa1dd0354149471e4c,6,figure;quantity;tag;time_seconds;reference_min;reference_max;prediction_min;prediction_max;max_abs_error;error_limit;clipped_points,UTF-8 comma-separated table
data/figure_source_data/ae735d2ae08f_snapshot_metadata.json,json,772,cdd2992eabb82db23bf1914cf759ce10fac43df3b921098391be67fae0956d5b,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
data/figure_source_data/b38477efbbfb_paired_effects.csv,csv,1301,b38477efbbfb833ef47da19340b721697624313fdf05fc9c49502cd591bec6a0,9,case;deletion;mean_percent;SD_percent;n_increased;n_seeds;seed_0_percent;seed_1_percent;seed_2_percent;seed_42_percent,UTF-8 comma-separated table
data/figure_source_data/b3dd27256ddb_snapshot_metadata.json,json,852,3a1d8cb1e1b534863a70819a1173bd3f5ea104c60921e3912db6aec3ceb4da33,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
data/figure_source_data/c22006814136_paired.csv,csv,1781,c2200681413654f34c2e2606bf281c2a1289df89d9c0e978868b253230941a7a,48,case;grid;mapping;seed;deletion_relative_change_percent,UTF-8 comma-separated table
data/figure_source_data/c85eab6edbf4_middle.npz,npz,9942468,c85eab6edbf4ff3485f7d3459a7ff31c507c67637798ac1bc7b4133d23886cf0,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/c9809f839f83_snapshot_grid.npz,npz,10280655,c9809f839f832f6b14b7d21c3181c81e800b9bf295a956eced0aac0ff3264155,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/ce42de22cb58_BL_by_seed.csv,csv,13955,ce42de22cb58c3cc884e4db0591dcb08975736b6d116940f069e1c7a20951eb4,104,study;run_id;exp;seed;n_labels;fourier;use_rar;use_fv;rar_points;fv_cells;relL2_S;front_band_RMSE;E_front_shockpos;E_bt;W_front_pred;S_star;v_shock;t_bt_true,UTF-8 comma-separated table
data/figure_source_data/db86ff9f9828_snapshot_grid.npz,npz,9978122,db86ff9f9828100ef891d0e533154eeacd67b4d39629cec13b5b38b0deea6b19,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/e6940405d98e_snapshot_metadata.json,json,772,5932b00e7e182953a8a6aebb8fb91a9615f342f9b0634fe1679389cb2ff9f992,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
data/figure_source_data/ef3eb1e88390_snapshot_grid.npz,npz,9966254,ef3eb1e8839055469f736a19cc57302b9f34bcc0cd72ecdcb313e89719e1f0c4,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/f56ffcc4b9d5_summary_heldout_front_timing.csv,csv,25922,f56ffcc4b9d50b93003e32549e9d974f85f9d2322c3fbaa958d5d0d07c4f67bd,68,run_id;exp_name;training_strategy;leave_out;seed;heldout_relL2_S;heldout_relL2_S_front;heldout_relL2_p_tilde;insample_relL2_S;insample_to_heldout_gap_S;bt_abs_error;bt_rel_error;checkpoint_data_holdout;holdout_spec_match;holdout_spec_note;W_front_ratio_mean;W_front_ratio_1090_mean;front_width_ratio_1090_mean;W_front_ratio_recommended_mean;W_front_abs_rel_error_1090_mean;front_inverse_slope_width_ratio_mean;W_front_ratio_legacy_grad_mean;W_front_ratio_grad_mean;front_sharpness_ratio_mean;front_position_signed_error_mid_mean;front_position_abs_error_mid_mean;front_position_rel_error_mid_mean;front_position_abs_error_maxgrad_mean,UTF-8 comma-separated table
data/figure_source_data/fbf058ba7cfc_holdout_by_seed.csv,csv,22703,fbf058ba7cfc0d7c778c98f09cee2ee79b6869b0f70a1efaf864c15170b34229,112,partition;run_id;exp_name;training_strategy;leave_out;seed;split;n;relL2_S;rmse_S;relL2_p_tilde;rmse_p_tilde;relL2_S_front;rmse_S_front;n_front,UTF-8 comma-separated table
